Rack Position,Steering Wheel,Right Wheel Toe In
-0.732,-77.50588235,-17.785
-0.731,-77.4,-17.762
-0.73,-77.29411765,-17.738
-0.729,-77.18823529,-17.714
-0.728,-77.08235294,-17.69
-0.727,-76.97647059,-17.667
-0.726,-76.87058824,-17.643
-0.725,-76.76470588,-17.619
-0.724,-76.65882353,-17.596
-0.723,-76.55294118,-17.572
-0.722,-76.44705882,-17.548
-0.721,-76.34117647,-17.524
-0.72,-76.23529412,-17.501
-0.719,-76.12941176,-17.477
-0.718,-76.02352941,-17.453
-0.717,-75.91764706,-17.43
-0.716,-75.81176471,-17.406
-0.715,-75.70588235,-17.382
-0.714,-75.6,-17.358
-0.713,-75.49411765,-17.335
-0.712,-75.38823529,-17.311
-0.711,-75.28235294,-17.287
-0.71,-75.17647059,-17.263
-0.709,-75.07058824,-17.24
-0.708,-74.96470588,-17.216
-0.707,-74.85882353,-17.192
-0.706,-74.75294118,-17.168
-0.705,-74.64705882,-17.145
-0.704,-74.54117647,-17.121
-0.703,-74.43529412,-17.097
-0.702,-74.32941176,-17.074
-0.701,-74.22352941,-17.05
-0.7,-74.11764706,-17.026
-0.699,-74.01176471,-17.002
-0.698,-73.90588235,-16.979
-0.697,-73.8,-16.955
-0.696,-73.69411765,-16.931
-0.695,-73.58823529,-16.907
-0.694,-73.48235294,-16.884
-0.693,-73.37647059,-16.86
-0.692,-73.27058824,-16.836
-0.691,-73.16470588,-16.812
-0.69,-73.05882353,-16.789
-0.689,-72.95294118,-16.765
-0.688,-72.84705882,-16.741
-0.687,-72.74117647,-16.717
-0.686,-72.63529412,-16.694
-0.685,-72.52941176,-16.67
-0.684,-72.42352941,-16.646
-0.683,-72.31764706,-16.622
-0.682,-72.21176471,-16.599
-0.681,-72.10588235,-16.575
-0.68,-72,-16.551
-0.679,-71.89411765,-16.527
-0.678,-71.78823529,-16.504
-0.677,-71.68235294,-16.48
-0.676,-71.57647059,-16.456
-0.675,-71.47058824,-16.432
-0.674,-71.36470588,-16.409
-0.673,-71.25882353,-16.385
-0.672,-71.15294118,-16.361
-0.671,-71.04705882,-16.337
-0.67,-70.94117647,-16.314
-0.669,-70.83529412,-16.29
-0.668,-70.72941176,-16.266
-0.667,-70.62352941,-16.242
-0.666,-70.51764706,-16.219
-0.665,-70.41176471,-16.195
-0.664,-70.30588235,-16.171
-0.663,-70.2,-16.147
-0.662,-70.09411765,-16.124
-0.661,-69.98823529,-16.1
-0.66,-69.88235294,-16.076
-0.659,-69.77647059,-16.052
-0.658,-69.67058824,-16.028
-0.657,-69.56470588,-16.005
-0.656,-69.45882353,-15.981
-0.655,-69.35294118,-15.957
-0.654,-69.24705882,-15.933
-0.653,-69.14117647,-15.91
-0.652,-69.03529412,-15.886
-0.651,-68.92941176,-15.862
-0.65,-68.82352941,-15.838
-0.649,-68.71764706,-15.815
-0.648,-68.61176471,-15.791
-0.647,-68.50588235,-15.767
-0.646,-68.4,-15.743
-0.645,-68.29411765,-15.719
-0.644,-68.18823529,-15.696
-0.643,-68.08235294,-15.672
-0.642,-67.97647059,-15.648
-0.641,-67.87058824,-15.624
-0.64,-67.76470588,-15.6
-0.639,-67.65882353,-15.577
-0.638,-67.55294118,-15.553
-0.637,-67.44705882,-15.529
-0.636,-67.34117647,-15.505
-0.635,-67.23529412,-15.482
-0.634,-67.12941176,-15.458
-0.633,-67.02352941,-15.434
-0.632,-66.91764706,-15.41
-0.631,-66.81176471,-15.386
-0.63,-66.70588235,-15.363
-0.629,-66.6,-15.339
-0.628,-66.49411765,-15.315
-0.627,-66.38823529,-15.291
-0.626,-66.28235294,-15.267
-0.625,-66.17647059,-15.244
-0.624,-66.07058824,-15.22
-0.623,-65.96470588,-15.196
-0.622,-65.85882353,-15.172
-0.621,-65.75294118,-15.148
-0.62,-65.64705882,-15.125
-0.619,-65.54117647,-15.101
-0.618,-65.43529412,-15.077
-0.617,-65.32941176,-15.053
-0.616,-65.22352941,-15.029
-0.615,-65.11764706,-15.006
-0.614,-65.01176471,-14.982
-0.613,-64.90588235,-14.958
-0.612,-64.8,-14.934
-0.611,-64.69411765,-14.91
-0.61,-64.58823529,-14.887
-0.609,-64.48235294,-14.863
-0.608,-64.37647059,-14.839
-0.607,-64.27058824,-14.815
-0.606,-64.16470588,-14.791
-0.605,-64.05882353,-14.767
-0.604,-63.95294118,-14.744
-0.603,-63.84705882,-14.72
-0.602,-63.74117647,-14.696
-0.601,-63.63529412,-14.672
-0.6,-63.52941176,-14.648
-0.599,-63.42352941,-14.624
-0.598,-63.31764706,-14.601
-0.597,-63.21176471,-14.577
-0.596,-63.10588235,-14.553
-0.595,-63,-14.529
-0.594,-62.89411765,-14.505
-0.593,-62.78823529,-14.482
-0.592,-62.68235294,-14.458
-0.591,-62.57647059,-14.434
-0.59,-62.47058824,-14.41
-0.589,-62.36470588,-14.386
-0.588,-62.25882353,-14.362
-0.587,-62.15294118,-14.338
-0.586,-62.04705882,-14.315
-0.585,-61.94117647,-14.291
-0.584,-61.83529412,-14.267
-0.583,-61.72941176,-14.243
-0.582,-61.62352941,-14.219
-0.581,-61.51764706,-14.195
-0.58,-61.41176471,-14.172
-0.579,-61.30588235,-14.148
-0.578,-61.2,-14.124
-0.577,-61.09411765,-14.1
-0.576,-60.98823529,-14.076
-0.575,-60.88235294,-14.052
-0.574,-60.77647059,-14.028
-0.573,-60.67058824,-14.005
-0.572,-60.56470588,-13.981
-0.571,-60.45882353,-13.957
-0.57,-60.35294118,-13.933
-0.569,-60.24705882,-13.909
-0.568,-60.14117647,-13.885
-0.567,-60.03529412,-13.861
-0.566,-59.92941176,-13.838
-0.565,-59.82352941,-13.814
-0.564,-59.71764706,-13.79
-0.563,-59.61176471,-13.766
-0.562,-59.50588235,-13.742
-0.561,-59.4,-13.718
-0.56,-59.29411765,-13.694
-0.559,-59.18823529,-13.671
-0.558,-59.08235294,-13.647
-0.557,-58.97647059,-13.623
-0.556,-58.87058824,-13.599
-0.555,-58.76470588,-13.575
-0.554,-58.65882353,-13.551
-0.553,-58.55294118,-13.527
-0.552,-58.44705882,-13.503
-0.551,-58.34117647,-13.48
-0.55,-58.23529412,-13.456
-0.549,-58.12941176,-13.432
-0.548,-58.02352941,-13.408
-0.547,-57.91764706,-13.384
-0.546,-57.81176471,-13.36
-0.545,-57.70588235,-13.336
-0.544,-57.6,-13.312
-0.543,-57.49411765,-13.288
-0.542,-57.38823529,-13.265
-0.541,-57.28235294,-13.241
-0.54,-57.17647059,-13.217
-0.539,-57.07058824,-13.193
-0.538,-56.96470588,-13.169
-0.537,-56.85882353,-13.145
-0.536,-56.75294118,-13.121
-0.535,-56.64705882,-13.097
-0.534,-56.54117647,-13.073
-0.533,-56.43529412,-13.049
-0.532,-56.32941176,-13.026
-0.531,-56.22352941,-13.002
-0.53,-56.11764706,-12.978
-0.529,-56.01176471,-12.954
-0.528,-55.90588235,-12.93
-0.527,-55.8,-12.906
-0.526,-55.69411765,-12.882
-0.525,-55.58823529,-12.858
-0.524,-55.48235294,-12.834
-0.523,-55.37647059,-12.81
-0.522,-55.27058824,-12.786
-0.521,-55.16470588,-12.762
-0.52,-55.05882353,-12.739
-0.519,-54.95294118,-12.715
-0.518,-54.84705882,-12.691
-0.517,-54.74117647,-12.667
-0.516,-54.63529412,-12.643
-0.515,-54.52941176,-12.619
-0.514,-54.42352941,-12.595
-0.513,-54.31764706,-12.571
-0.512,-54.21176471,-12.547
-0.511,-54.10588235,-12.523
-0.51,-54,-12.499
-0.509,-53.89411765,-12.475
-0.508,-53.78823529,-12.451
-0.507,-53.68235294,-12.427
-0.506,-53.57647059,-12.403
-0.505,-53.47058824,-12.379
-0.504,-53.36470588,-12.356
-0.503,-53.25882353,-12.332
-0.502,-53.15294118,-12.308
-0.501,-53.04705882,-12.284
-0.5,-52.94117647,-12.26
-0.499,-52.83529412,-12.236
-0.498,-52.72941176,-12.212
-0.497,-52.62352941,-12.188
-0.496,-52.51764706,-12.164
-0.495,-52.41176471,-12.14
-0.494,-52.30588235,-12.116
-0.493,-52.2,-12.092
-0.492,-52.09411765,-12.068
-0.491,-51.98823529,-12.044
-0.49,-51.88235294,-12.02
-0.489,-51.77647059,-11.996
-0.488,-51.67058824,-11.972
-0.487,-51.56470588,-11.948
-0.486,-51.45882353,-11.924
-0.485,-51.35294118,-11.9
-0.484,-51.24705882,-11.876
-0.483,-51.14117647,-11.852
-0.482,-51.03529412,-11.828
-0.481,-50.92941176,-11.804
-0.48,-50.82352941,-11.78
-0.479,-50.71764706,-11.756
-0.478,-50.61176471,-11.732
-0.477,-50.50588235,-11.708
-0.476,-50.4,-11.684
-0.475,-50.29411765,-11.66
-0.474,-50.18823529,-11.636
-0.473,-50.08235294,-11.612
-0.472,-49.97647059,-11.588
-0.471,-49.87058824,-11.564
-0.47,-49.76470588,-11.54
-0.469,-49.65882353,-11.516
-0.468,-49.55294118,-11.492
-0.467,-49.44705882,-11.468
-0.466,-49.34117647,-11.444
-0.465,-49.23529412,-11.42
-0.464,-49.12941176,-11.396
-0.463,-49.02352941,-11.372
-0.462,-48.91764706,-11.348
-0.461,-48.81176471,-11.324
-0.46,-48.70588235,-11.3
-0.459,-48.6,-11.276
-0.458,-48.49411765,-11.252
-0.457,-48.38823529,-11.228
-0.456,-48.28235294,-11.204
-0.455,-48.17647059,-11.18
-0.454,-48.07058824,-11.156
-0.453,-47.96470588,-11.132
-0.452,-47.85882353,-11.108
-0.451,-47.75294118,-11.084
-0.45,-47.64705882,-11.06
-0.449,-47.54117647,-11.036
-0.448,-47.43529412,-11.012
-0.447,-47.32941176,-10.988
-0.446,-47.22352941,-10.964
-0.445,-47.11764706,-10.94
-0.444,-47.01176471,-10.916
-0.443,-46.90588235,-10.892
-0.442,-46.8,-10.868
-0.441,-46.69411765,-10.844
-0.44,-46.58823529,-10.82
-0.439,-46.48235294,-10.796
-0.438,-46.37647059,-10.772
-0.437,-46.27058824,-10.747
-0.436,-46.16470588,-10.723
-0.435,-46.05882353,-10.699
-0.434,-45.95294118,-10.675
-0.433,-45.84705882,-10.651
-0.432,-45.74117647,-10.627
-0.431,-45.63529412,-10.603
-0.43,-45.52941176,-10.579
-0.429,-45.42352941,-10.555
-0.428,-45.31764706,-10.531
-0.427,-45.21176471,-10.507
-0.426,-45.10588235,-10.483
-0.425,-45,-10.459
-0.424,-44.89411765,-10.435
-0.423,-44.78823529,-10.411
-0.422,-44.68235294,-10.386
-0.421,-44.57647059,-10.362
-0.42,-44.47058824,-10.338
-0.419,-44.36470588,-10.314
-0.418,-44.25882353,-10.29
-0.417,-44.15294118,-10.266
-0.416,-44.04705882,-10.242
-0.415,-43.94117647,-10.218
-0.414,-43.83529412,-10.194
-0.413,-43.72941176,-10.17
-0.412,-43.62352941,-10.146
-0.411,-43.51764706,-10.121
-0.41,-43.41176471,-10.097
-0.409,-43.30588235,-10.073
-0.408,-43.2,-10.049
-0.407,-43.09411765,-10.025
-0.406,-42.98823529,-10.001
-0.405,-42.88235294,-9.977
-0.404,-42.77647059,-9.953
-0.403,-42.67058824,-9.929
-0.402,-42.56470588,-9.904
-0.401,-42.45882353,-9.88
-0.4,-42.35294118,-9.856
-0.399,-42.24705882,-9.832
-0.398,-42.14117647,-9.808
-0.397,-42.03529412,-9.784
-0.396,-41.92941176,-9.76
-0.395,-41.82352941,-9.735
-0.394,-41.71764706,-9.711
-0.393,-41.61176471,-9.687
-0.392,-41.50588235,-9.663
-0.391,-41.4,-9.639
-0.39,-41.29411765,-9.615
-0.389,-41.18823529,-9.591
-0.388,-41.08235294,-9.566
-0.387,-40.97647059,-9.542
-0.386,-40.87058824,-9.518
-0.385,-40.76470588,-9.494
-0.384,-40.65882353,-9.47
-0.383,-40.55294118,-9.446
-0.382,-40.44705882,-9.422
-0.381,-40.34117647,-9.397
-0.38,-40.23529412,-9.373
-0.379,-40.12941176,-9.349
-0.378,-40.02352941,-9.325
-0.377,-39.91764706,-9.301
-0.376,-39.81176471,-9.277
-0.375,-39.70588235,-9.252
-0.374,-39.6,-9.228
-0.373,-39.49411765,-9.204
-0.372,-39.38823529,-9.18
-0.371,-39.28235294,-9.156
-0.37,-39.17647059,-9.131
-0.369,-39.07058824,-9.107
-0.368,-38.96470588,-9.083
-0.367,-38.85882353,-9.059
-0.366,-38.75294118,-9.035
-0.365,-38.64705882,-9.011
-0.364,-38.54117647,-8.986
-0.363,-38.43529412,-8.962
-0.362,-38.32941176,-8.938
-0.361,-38.22352941,-8.914
-0.36,-38.11764706,-8.89
-0.359,-38.01176471,-8.865
-0.358,-37.90588235,-8.841
-0.357,-37.8,-8.817
-0.356,-37.69411765,-8.793
-0.355,-37.58823529,-8.768
-0.354,-37.48235294,-8.744
-0.353,-37.37647059,-8.72
-0.352,-37.27058824,-8.696
-0.351,-37.16470588,-8.672
-0.35,-37.05882353,-8.647
-0.349,-36.95294118,-8.623
-0.348,-36.84705882,-8.599
-0.347,-36.74117647,-8.575
-0.346,-36.63529412,-8.55
-0.345,-36.52941176,-8.526
-0.344,-36.42352941,-8.502
-0.343,-36.31764706,-8.478
-0.342,-36.21176471,-8.453
-0.341,-36.10588235,-8.429
-0.34,-36,-8.405
-0.339,-35.89411765,-8.381
-0.338,-35.78823529,-8.356
-0.337,-35.68235294,-8.332
-0.336,-35.57647059,-8.308
-0.335,-35.47058824,-8.284
-0.334,-35.36470588,-8.259
-0.333,-35.25882353,-8.235
-0.332,-35.15294118,-8.211
-0.331,-35.04705882,-8.187
-0.33,-34.94117647,-8.162
-0.329,-34.83529412,-8.138
-0.328,-34.72941176,-8.114
-0.327,-34.62352941,-8.09
-0.326,-34.51764706,-8.065
-0.325,-34.41176471,-8.041
-0.324,-34.30588235,-8.017
-0.323,-34.2,-7.992
-0.322,-34.09411765,-7.968
-0.321,-33.98823529,-7.944
-0.32,-33.88235294,-7.92
-0.319,-33.77647059,-7.895
-0.318,-33.67058824,-7.871
-0.317,-33.56470588,-7.847
-0.316,-33.45882353,-7.822
-0.315,-33.35294118,-7.798
-0.314,-33.24705882,-7.774
-0.313,-33.14117647,-7.749
-0.312,-33.03529412,-7.725
-0.311,-32.92941176,-7.701
-0.31,-32.82352941,-7.676
-0.309,-32.71764706,-7.652
-0.308,-32.61176471,-7.628
-0.307,-32.50588235,-7.603
-0.306,-32.4,-7.579
-0.305,-32.29411765,-7.555
-0.304,-32.18823529,-7.53
-0.303,-32.08235294,-7.506
-0.302,-31.97647059,-7.482
-0.301,-31.87058824,-7.457
-0.3,-31.76470588,-7.433
-0.299,-31.65882353,-7.409
-0.298,-31.55294118,-7.384
-0.297,-31.44705882,-7.36
-0.296,-31.34117647,-7.336
-0.295,-31.23529412,-7.311
-0.294,-31.12941176,-7.287
-0.293,-31.02352941,-7.263
-0.292,-30.91764706,-7.238
-0.291,-30.81176471,-7.214
-0.29,-30.70588235,-7.19
-0.289,-30.6,-7.165
-0.288,-30.49411765,-7.141
-0.287,-30.38823529,-7.116
-0.286,-30.28235294,-7.092
-0.285,-30.17647059,-7.068
-0.284,-30.07058824,-7.043
-0.283,-29.96470588,-7.019
-0.282,-29.85882353,-6.995
-0.281,-29.75294118,-6.97
-0.28,-29.64705882,-6.946
-0.279,-29.54117647,-6.921
-0.278,-29.43529412,-6.897
-0.277,-29.32941176,-6.873
-0.276,-29.22352941,-6.848
-0.275,-29.11764706,-6.824
-0.274,-29.01176471,-6.799
-0.273,-28.90588235,-6.775
-0.272,-28.8,-6.751
-0.271,-28.69411765,-6.726
-0.27,-28.58823529,-6.702
-0.269,-28.48235294,-6.677
-0.268,-28.37647059,-6.653
-0.267,-28.27058824,-6.629
-0.266,-28.16470588,-6.604
-0.265,-28.05882353,-6.58
-0.264,-27.95294118,-6.555
-0.263,-27.84705882,-6.531
-0.262,-27.74117647,-6.506
-0.261,-27.63529412,-6.482
-0.26,-27.52941176,-6.457
-0.259,-27.42352941,-6.433
-0.258,-27.31764706,-6.409
-0.257,-27.21176471,-6.384
-0.256,-27.10588235,-6.36
-0.255,-27,-6.335
-0.254,-26.89411765,-6.311
-0.253,-26.78823529,-6.286
-0.252,-26.68235294,-6.262
-0.251,-26.57647059,-6.237
-0.25,-26.47058824,-6.213
-0.249,-26.36470588,-6.188
-0.248,-26.25882353,-6.164
-0.247,-26.15294118,-6.14
-0.246,-26.04705882,-6.115
-0.245,-25.94117647,-6.091
-0.244,-25.83529412,-6.066
-0.243,-25.72941176,-6.042
-0.242,-25.62352941,-6.017
-0.241,-25.51764706,-5.993
-0.24,-25.41176471,-5.968
-0.239,-25.30588235,-5.944
-0.238,-25.2,-5.919
-0.237,-25.09411765,-5.895
-0.236,-24.98823529,-5.87
-0.235,-24.88235294,-5.846
-0.234,-24.77647059,-5.821
-0.233,-24.67058824,-5.797
-0.232,-24.56470588,-5.772
-0.231,-24.45882353,-5.748
-0.23,-24.35294118,-5.723
-0.229,-24.24705882,-5.699
-0.228,-24.14117647,-5.674
-0.227,-24.03529412,-5.649
-0.226,-23.92941176,-5.625
-0.225,-23.82352941,-5.6
-0.224,-23.71764706,-5.576
-0.223,-23.61176471,-5.551
-0.222,-23.50588235,-5.527
-0.221,-23.4,-5.502
-0.22,-23.29411765,-5.478
-0.219,-23.18823529,-5.453
-0.218,-23.08235294,-5.429
-0.217,-22.97647059,-5.404
-0.216,-22.87058824,-5.379
-0.215,-22.76470588,-5.355
-0.214,-22.65882353,-5.33
-0.213,-22.55294118,-5.306
-0.212,-22.44705882,-5.281
-0.211,-22.34117647,-5.257
-0.21,-22.23529412,-5.232
-0.209,-22.12941176,-5.207
-0.208,-22.02352941,-5.183
-0.207,-21.91764706,-5.158
-0.206,-21.81176471,-5.134
-0.205,-21.70588235,-5.109
-0.204,-21.6,-5.085
-0.203,-21.49411765,-5.06
-0.202,-21.38823529,-5.035
-0.201,-21.28235294,-5.011
-0.2,-21.17647059,-4.986
-0.199,-21.07058824,-4.962
-0.198,-20.96470588,-4.937
-0.197,-20.85882353,-4.912
-0.196,-20.75294118,-4.888
-0.195,-20.64705882,-4.863
-0.194,-20.54117647,-4.838
-0.193,-20.43529412,-4.814
-0.192,-20.32941176,-4.789
-0.191,-20.22352941,-4.765
-0.19,-20.11764706,-4.74
-0.189,-20.01176471,-4.715
-0.188,-19.90588235,-4.691
-0.187,-19.8,-4.666
-0.186,-19.69411765,-4.641
-0.185,-19.58823529,-4.617
-0.184,-19.48235294,-4.592
-0.183,-19.37647059,-4.567
-0.182,-19.27058824,-4.543
-0.181,-19.16470588,-4.518
-0.18,-19.05882353,-4.493
-0.179,-18.95294118,-4.469
-0.178,-18.84705882,-4.444
-0.177,-18.74117647,-4.419
-0.176,-18.63529412,-4.395
-0.175,-18.52941176,-4.37
-0.174,-18.42352941,-4.345
-0.173,-18.31764706,-4.321
-0.172,-18.21176471,-4.296
-0.171,-18.10588235,-4.271
-0.17,-18,-4.247
-0.169,-17.89411765,-4.222
-0.168,-17.78823529,-4.197
-0.167,-17.68235294,-4.173
-0.166,-17.57647059,-4.148
-0.165,-17.47058824,-4.123
-0.164,-17.36470588,-4.098
-0.163,-17.25882353,-4.074
-0.162,-17.15294118,-4.049
-0.161,-17.04705882,-4.024
-0.16,-16.94117647,-4
-0.159,-16.83529412,-3.975
-0.158,-16.72941176,-3.95
-0.157,-16.62352941,-3.925
-0.156,-16.51764706,-3.901
-0.155,-16.41176471,-3.876
-0.154,-16.30588235,-3.851
-0.153,-16.2,-3.826
-0.152,-16.09411765,-3.802
-0.151,-15.98823529,-3.777
-0.15,-15.88235294,-3.752
-0.149,-15.77647059,-3.727
-0.148,-15.67058824,-3.703
-0.147,-15.56470588,-3.678
-0.146,-15.45882353,-3.653
-0.145,-15.35294118,-3.628
-0.144,-15.24705882,-3.604
-0.143,-15.14117647,-3.579
-0.142,-15.03529412,-3.554
-0.141,-14.92941176,-3.529
-0.14,-14.82352941,-3.504
-0.139,-14.71764706,-3.48
-0.138,-14.61176471,-3.455
-0.137,-14.50588235,-3.43
-0.136,-14.4,-3.405
-0.135,-14.29411765,-3.38
-0.134,-14.18823529,-3.356
-0.133,-14.08235294,-3.331
-0.132,-13.97647059,-3.306
-0.131,-13.87058824,-3.281
-0.13,-13.76470588,-3.256
-0.129,-13.65882353,-3.232
-0.128,-13.55294118,-3.207
-0.127,-13.44705882,-3.182
-0.126,-13.34117647,-3.157
-0.125,-13.23529412,-3.132
-0.124,-13.12941176,-3.107
-0.123,-13.02352941,-3.083
-0.122,-12.91764706,-3.058
-0.121,-12.81176471,-3.033
-0.12,-12.70588235,-3.008
-0.119,-12.6,-2.983
-0.118,-12.49411765,-2.958
-0.117,-12.38823529,-2.933
-0.116,-12.28235294,-2.909
-0.115,-12.17647059,-2.884
-0.114,-12.07058824,-2.859
-0.113,-11.96470588,-2.834
-0.112,-11.85882353,-2.809
-0.111,-11.75294118,-2.784
-0.11,-11.64705882,-2.759
-0.109,-11.54117647,-2.734
-0.108,-11.43529412,-2.709
-0.107,-11.32941176,-2.685
-0.106,-11.22352941,-2.66
-0.105,-11.11764706,-2.635
-0.104,-11.01176471,-2.61
-0.103,-10.90588235,-2.585
-0.102,-10.8,-2.56
-0.101,-10.69411765,-2.535
-0.1,-10.58823529,-2.51
-0.099,-10.48235294,-2.485
-0.098,-10.37647059,-2.46
-0.097,-10.27058824,-2.435
-0.096,-10.16470588,-2.41
-0.095,-10.05882353,-2.386
-0.094,-9.952941176,-2.361
-0.093,-9.847058824,-2.336
-0.092,-9.741176471,-2.311
-0.091,-9.635294118,-2.286
-0.09,-9.529411765,-2.261
-0.089,-9.423529412,-2.236
-0.088,-9.317647059,-2.211
-0.087,-9.211764706,-2.186
-0.086,-9.105882353,-2.161
-0.085,-9,-2.136
-0.084,-8.894117647,-2.111
-0.083,-8.788235294,-2.086
-0.082,-8.682352941,-2.061
-0.081,-8.576470588,-2.036
-0.08,-8.470588235,-2.011
-0.079,-8.364705882,-1.986
-0.078,-8.258823529,-1.961
-0.077,-8.152941176,-1.936
-0.076,-8.047058824,-1.911
-0.075,-7.941176471,-1.886
-0.074,-7.835294118,-1.861
-0.073,-7.729411765,-1.836
-0.072,-7.623529412,-1.811
-0.071,-7.517647059,-1.786
-0.07,-7.411764706,-1.761
-0.069,-7.305882353,-1.736
-0.068,-7.2,-1.711
-0.067,-7.094117647,-1.686
-0.066,-6.988235294,-1.661
-0.065,-6.882352941,-1.636
-0.064,-6.776470588,-1.611
-0.063,-6.670588235,-1.586
-0.062,-6.564705882,-1.561
-0.061,-6.458823529,-1.536
-0.06,-6.352941176,-1.511
-0.059,-6.247058824,-1.485
-0.058,-6.141176471,-1.46
-0.057,-6.035294118,-1.435
-0.056,-5.929411765,-1.41
-0.055,-5.823529412,-1.385
-0.054,-5.717647059,-1.36
-0.053,-5.611764706,-1.335
-0.052,-5.505882353,-1.31
-0.051,-5.4,-1.285
-0.05,-5.294117647,-1.26
-0.049,-5.188235294,-1.235
-0.048,-5.082352941,-1.21
-0.047,-4.976470588,-1.184
-0.046,-4.870588235,-1.159
-0.045,-4.764705882,-1.134
-0.044,-4.658823529,-1.109
-0.043,-4.552941176,-1.084
-0.042,-4.447058824,-1.059
-0.041,-4.341176471,-1.034
-0.04,-4.235294118,-1.009
-0.039,-4.129411765,-0.983
-0.038,-4.023529412,-0.958
-0.037,-3.917647059,-0.933
-0.036,-3.811764706,-0.908
-0.035,-3.705882353,-0.883
-0.034,-3.6,-0.858
-0.033,-3.494117647,-0.833
-0.032,-3.388235294,-0.807
-0.031,-3.282352941,-0.782
-0.03,-3.176470588,-0.757
-0.029,-3.070588235,-0.732
-0.028,-2.964705882,-0.707
-0.027,-2.858823529,-0.681
-0.026,-2.752941176,-0.656
-0.025,-2.647058824,-0.631
-0.024,-2.541176471,-0.606
-0.023,-2.435294118,-0.581
-0.022,-2.329411765,-0.555
-0.021,-2.223529412,-0.53
-0.02,-2.117647059,-0.505
-0.019,-2.011764706,-0.48
-0.018,-1.905882353,-0.455
-0.017,-1.8,-0.429
